name;zipcode;total_employment;total_senior_employment
Géovreisset;01171;191,1348086;15,29374127
Germagnat;01172;8;0
Gex;01173;2595,595747;148,246948
Giron;01174;27,54862516;0
Gorrevod;01175;176,6441718;0
Le Grand-Abergement;01176;32,60377358;0
Grand-Corent;01177;16,91139241;0
Grièges;01179;452,8845029;15,00399339
Grilly;01180;115,7765173;4,068772674
Groissiat;01181;691,7364884;45,81483544
Groslée;01182;69,50259804;4,034383954
Guéreins;01183;498,4924396;23,25084095
Hautecourt-Romanèche;01184;65,24286735;0
Hauteville-Lompnes;01185;2256,514216;49,69255691
Hostiaz;01186;15,44186047;0
Hotonnes;01187;133,8116517;0
Illiat;01188;93,88462894;8,028070175
Injoux-Génissiat;01189;118,6843289;4,190114068
Innimond;01190;15,86324786;0
Izenave;01191;41,52444408;0
Izernore;01192;1674,406365;143,0059222
Izieu;01193;10,45002895;5,384603002
Jassans-Riottier;01194;1602,749073;85,97073335
Jasseron;01195;407,883951;15,68257754
Jayat;01196;287,6407992;7,927145742
Journans;01197;50,09869206;0
Joyeux;01198;41,2626758;0
Jujurieux;01199;467,8720972;34,03768003
Labalme;01200;35,7981198;8,189616253
Lagnieu;01202;2305,663034;137,7740076
Laiz;01203;390,062317;7,940379404
Lalleyriat;01204;52,1597378;0
Lancrans;01205;108,5527961;6,663535193
Lantenay;01206;15,89240045;0
Lapeyrouse;01207;92,15166333;3,973063973
Lavours;01208;16,19977142;0
Léaz;01209;22,35016873;0
Lélex;01210;167,5135796;0
Lent;01211;195,4057106;3,841472045
Lescheroux;01212;84,15029967;0
Leyment;01213;381,4599944;20,21347672
Leyssard;01214;27,9278462;3,973856209
Lhôpital;01215;4,48;0
Lhuis;01216;281,0529043;8,213627993
Lochieu;01218;11,59147205;0
Lompnas;01219;20;4
Lompnieu;01221;8,474576271;0
Loyettes;01224;744,9736075;60,40205314
Lurcy;01225;28;0
Magnieu;01227;40,58796498;4,143198091
Maillat;01228;363,3709612;11,77821395
Malafretaz;01229;177,9873999;3,587569092
Mantenay-Montlin;01230;34,17134734;0
Manziat;01231;694,7558958;35,84701202
Marboz;01232;513,7573489;32,46890787
Marchamp;01233;8,677465706;0
Marignieu;01234;51,17873098;0
Marlieux;01235;161,647906;4,199324794
Marsonnas;01236;117,5800134;0
Martignat;01237;801,9515581;41,24637807
Massieux;01238;663,6812279;65,51409805
Massignieu-de-Rives;01239;59,99554203;0
Matafelon-Granges;01240;79,15499258;0
Meillonnas;01241;319,7058884;11,86424379
Mérignat;01242;32,76810714;3,04885973
Messimy-sur-Saône;01243;128,8754749;4,043551089
Meximieux;01244;2310,007501;102,0360698
Bohas-Meyriat-Rignat;01245;87,42714019;15,23112128
Mézériat;01246;467,3079019;11,9638924
Mijoux;01247;142,4482276;0
Mionnay;01248;378,3633408;23,16269734
Miribel;01249;4993,514297;652,6587861
Misérieux;01250;304,6104957;12,15747612
Mogneneins;01252;65,27252836;8,211699164
Montagnat;01254;433,0762942;26,49104326
Montagnieu;01255;65,93229885;8,307070707
